id,company_rating,company_location,total_fleet_count,iata_approved
35029,1.0,Niue,4.0,false
30292,0.67,Anguilla,6.0,false
19032,0.67,Russian Federation,4.0,false
8238,0.91,Barbados,15.0,true
30342,"",Sao Tome and Principe,2.0,true
32413,1.0,Faroe Islands,1.0,false
35620,0.9,Micronesia,3.0,false
23820,"",Rwanda,1.0,true
46528,1.0,Uzbekistan,3.0,true
11875,1.0,Micronesia,2.0,true
21120,1.0,Kiribati,2.0,true
10864,1.0,Nicaragua,2.0,true
6027,0.82,Wallis and Futuna,2.0,false
14122,1.0,Malta,1.0,true
47761,1.0,Niue,2.0,false
33827,1.0,United Kingdom,1.0,false
13336,"",Malta,1.0,false
46548,"",Estonia,1.0,false
26648,1.0,Niue,2.0,true
26648,1.0,Niue,2.0,true
19479,0.8,Niue,4.0,false
13109,1.0,Bouvet Island (Bouvetoya),1.0,false
19479,0.8,Niue,4.0,false
35620,0.9,Micronesia,3.0,false
24304,1.0,Micronesia,1.0,true
17518,0.9,United Kingdom,2.0,true
42867,1.0,Indonesia,2.0,true
31177,"",Costa Rica,1.0,false
41961,"",Marshall Islands,2.0,true
47761,1.0,Niue,2.0,false
16351,"","",1.0,true
5252,"",Kenya,1.0,true
29378,"","",1.0,false
11275,1.0,Brazil,3.0,true
28675,1.0,Guinea,1.0,true
2418,1.0,Mexico,2.0,false
2418,1.0,Mexico,2.0,false
21747,0.67,Gambia,1.0,true
47174,"",Isle of Man,2.0,true
40644,"",Bosnia and Herzegovina,1.0,true
49598,"",Switzerland,4.0,true
8363,0.71,Guinea,3.0,false
22699,0.0,Russian Federation,1.0,false
27772,1.0,Chad,2.0,true
33784,1.0,Pakistan,1.0,false
6186,"",Bosnia and Herzegovina,3.0,true
2817,"",El Salvador,1.0,false
6399,0.95,Marshall Islands,5.0,false
859,0.75,Lebanon,2.0,true
12135,"",Bosnia and Herzegovina,1.0,true
33904,1.0,Russian Federation,1.0,true
1442,1.0,Andorra,2.0,true
1442,1.0,Andorra,2.0,true
8363,0.71,Guinea,3.0,false
6637,1.0,Cyprus,3.0,true
7788,"",Cook Islands,3.0,true
42832,"",Denmark,2.0,false
8363,0.71,Guinea,3.0,false
42114,1.0,Sao Tome and Principe,3.0,true
29416,1.0,Anguilla,1.0,false
14271,"",El Salvador,1.0,false
9814,1.0,Lebanon,2.0,true
39856,1.0,Bosnia and Herzegovina,1.0,true
37646,1.0,Estonia,60.0,false
19579,1.0,Kenya,2.0,false
29560,"",Croatia,4.0,true
21836,1.0,Mauritania,3.0,false
14917,"",Monaco,1.0,true
6399,0.95,Marshall Islands,5.0,false
7788,"",Cook Islands,3.0,true
15268,"",Lebanon,1.0,true
28884,1.0,Micronesia,2.0,true
48911,1.0,"",1.0,false
8238,0.91,Barbados,15.0,true
17025,1.0,Sao Tome and Principe,1.0,true
37349,1.0,"",1.0,false
37321,1.0,Tunisia,1.0,true
24968,"",Gibraltar,1.0,true
18897,1.0,Canada,1.0,true
41961,"",Marshall Islands,2.0,true
5431,1.0,Uzbekistan,2.0,true
13796,1.0,Kiribati,2.0,true
42114,1.0,Sao Tome and Principe,3.0,true
29049,"",Zimbabwe,1.0,false
8555,1.0,Guernsey,1.0,true
28032,"",France,1.0,true
36452,1.0,Pakistan,1.0,false
44099,1.0,Reunion,1.0,false
13926,"",Niger,1.0,true
20214,1.0,Sao Tome and Principe,1.0,false
13381,0.4,Guinea,1.0,false
42832,"",Denmark,2.0,false
12764,"",Finland,1.0,true
12916,"","",9.0,true
46575,1.0,Isle of Man,1.0,false
15306,"",Barbados,8.0,true
31859,1.0,Maldives,2.0,false
20692,1.0,Marshall Islands,7.0,true
4795,1.0,Malta,1.0,false
30537,1.0,Tonga,3.0,true
45855,1.0,"",1.0,false
35147,0.95,Mauritania,5.0,true
35321,1.0,Russian Federation,2.0,true
3652,1.0,Guinea,2.0,true
15604,1.0,Russian Federation,2.0,true
23644,1.0,Mauritania,4.0,true
26909,1.0,Lebanon,1.0,true
2771,0.8,Niue,1.0,false
36905,1.0,Senegal,1.0,true
48372,1.0,Barbados,12.0,true
6492,1.0,Marshall Islands,1.0,false
1597,1.0,"",1.0,false
4242,0.67,Ecuador,1.0,true
38864,"",Uganda,1.0,false
40326,0.33,"",1.0,false
27965,1.0,Faroe Islands,3.0,false
46456,0.0,Monaco,1.0,false
26562,"","",1.0,false
16247,1.0,Slovakia (Slovak Republic),3.0,false
19032,0.67,Russian Federation,4.0,false
1952,1.0,Denmark,2.0,true
21495,"",Estonia,1.0,true
16247,1.0,Slovakia (Slovak Republic),3.0,false
36279,"",Christmas Island,1.0,true
22168,"",Kenya,1.0,false
5570,1.0,Finland,1.0,true
20736,1.0,Russian Federation,3.0,true
43515,1.0,Uruguay,1.0,false
32290,0.0,"",1.0,false
41956,"",Lebanon,1.0,true
33906,0.8,Marshall Islands,1.0,false
23133,"",Rwanda,1.0,true
5698,1.0,Cape Verde,1.0,true
464,"",Gibraltar,1.0,false
49323,1.0,Croatia,2.0,true
18899,"",Bosnia and Herzegovina,1.0,false
20242,1.0,Croatia,1.0,false
599,"",El Salvador,2.0,false
11781,1.0,Guinea,2.0,true
36599,"",Lebanon,1.0,false
39533,"",Rwanda,1.0,true
9447,1.0,Grenada,1.0,false
41760,"",Uzbekistan,1.0,false
24038,0.67,Tanzania,1.0,true
32063,1.0,Niue,2.0,true
44947,1.0,Malta,1.0,true
49938,1.0,Anguilla,1.0,false
2926,0.86,Niue,1.0,false
45976,0.83,Brazil,1.0,false
21120,1.0,Kiribati,2.0,true
43109,0.8,Russian Federation,1.0,true
20697,0.9,Lebanon,1.0,true
992,0.0,Croatia,2.0,false
9736,0.5,Congo,2.0,true
50009,0.0,Niue,1.0,false
5991,"",Lebanon,3.0,true
33462,1.0,Nicaragua,1.0,true
14016,"",Turkmenistan,3.0,true
30628,1.0,Marshall Islands,1.0,false
11884,1.0,Zimbabwe,1.0,true
8662,1.0,Croatia,2.0,true
23614,1.0,Ecuador,4.0,true
9261,1.0,Tonga,1.0,false
41244,1.0,Guernsey,3.0,true
16422,1.0,Russian Federation,6.0,false
14240,1.0,Chile,3.0,true
41697,1.0,Bahrain,1.0,false
20450,"",Vanuatu,1.0,false
15854,1.0,Marshall Islands,1.0,false
14191,1.0,Slovakia (Slovak Republic),1.0,false
36823,1.0,Russian Federation,2.0,true
36548,"",Uzbekistan,1.0,true
25038,1.0,Bouvet Island (Bouvetoya),1.0,false
49186,1.0,Isle of Man,1.0,false
26832,"","",1.0,true
49323,1.0,Croatia,2.0,true
4231,1.0,Guinea,1.0,true
23044,1.0,Fiji,2.0,true
8238,0.91,Barbados,15.0,true
42077,1.0,Philippines,2.0,true
14369,"",Micronesia,2.0,true
40973,0.9,Uzbekistan,1.0,true
23812,"","",2.0,true
37577,1.0,Lebanon,3.0,true
29642,1.0,Costa Rica,1.0,true
28781,"",Anguilla,2.0,false
37646,1.0,Estonia,60.0,false
17967,1.0,El Salvador,2.0,false
15391,0.9,Niger,2.0,true
21019,"",Niue,1.0,true
36139,"",Montserrat,2.0,false
30801,1.0,Mauritania,2.0,true
14240,1.0,Chile,3.0,true
39395,1.0,Mauritania,3.0,true
40007,1.0,Marshall Islands,1.0,false
37392,1.0,Micronesia,7.0,true
674,1.0,Gibraltar,4.0,false
18410,1.0,Russian Federation,1.0,true
16661,1.0,Russian Federation,2.0,true
2145,0.67,Faroe Islands,3.0,true
28201,1.0,Kenya,1.0,false
45585,1.0,Denmark,1.0,false
18765,1.0,Bosnia and Herzegovina,1.0,true
21202,"",Mauritania,1.0,false
27589,0.8,Estonia,1.0,false
30065,"",Russian Federation,1.0,true
23044,1.0,Fiji,2.0,true
2977,"",Reunion,2.0,false
8023,"",Isle of Man,1.0,true
22680,"",Sao Tome and Principe,1.0,false
19875,0.9,Kenya,1.0,false
9011,1.0,Russian Federation,1.0,false
42965,1.0,Uzbekistan,11.0,true
26524,1.0,Guinea,2.0,true
41815,"",Russian Federation,1.0,false
35807,1.0,Sao Tome and Principe,2.0,false
13525,1.0,Nauru,1.0,false
29563,1.0,Jersey,2.0,false
22568,1.0,Malta,1.0,true
20736,1.0,Russian Federation,3.0,true
29112,1.0,Chad,2.0,false
30801,1.0,Mauritania,2.0,true
40842,1.0,Mexico,1.0,false
794,1.0,Indonesia,1.0,false
21596,1.0,Guinea,1.0,true
283,1.0,United Kingdom,1.0,true
20847,1.0,Bouvet Island (Bouvetoya),2.0,true
14602,1.0,Malawi,1.0,true
20736,1.0,Russian Federation,3.0,true
27556,"",Russian Federation,1.0,false
13504,1.0,Ukraine,3.0,false
13585,"",Rwanda,2.0,false
37646,1.0,Estonia,60.0,false
36336,1.0,Jersey,1.0,false
49491,1.0,"",1.0,true
23663,1.0,Philippines,1.0,true
10211,1.0,Mauritania,1.0,false
13504,1.0,Ukraine,3.0,false
36732,"",China,1.0,true
45546,1.0,Cape Verde,19.0,true
42201,"",United Kingdom,1.0,false
23644,1.0,Mauritania,4.0,true
1536,1.0,Grenada,2.0,false
37646,1.0,Estonia,60.0,false
39713,1.0,Denmark,4.0,false
48832,"",Lebanon,1.0,false
1592,"",Tonga,1.0,false
29590,"","",1.0,false
23891,0.9,Zimbabwe,3.0,true
36484,1.0,Bouvet Island (Bouvetoya),1.0,false
19579,1.0,Kenya,2.0,false
6518,1.0,Uzbekistan,1.0,false
15814,1.0,Brazil,4.0,false
13692,1.0,Uganda,1.0,false
10947,"",Bosnia and Herzegovina,1.0,false
2097,1.0,Guernsey,1.0,true
32603,0.83,Nicaragua,4.0,true
38131,1.0,Antarctica (the territory South of 60 deg S),3.0,true
41093,1.0,Tunisia,2.0,true
20345,0.0,Niue,1.0,false
13585,"",Rwanda,2.0,false
3329,"",Uzbekistan,4.0,false
12401,1.0,Rwanda,2.0,false
40954,0.0,Uganda,1.0,false
30509,"",Gambia,1.0,false
41093,1.0,Tunisia,2.0,true
9829,0.7,Nauru,1.0,false
25988,1.0,Russian Federation,2.0,false
23614,1.0,Ecuador,4.0,true
14616,0.5,Marshall Islands,1.0,true
24425,1.0,Mauritania,2.0,true
12401,1.0,Rwanda,2.0,false
32476,1.0,French Guiana,1.0,true
10204,1.0,Nicaragua,5.0,true
45546,1.0,Cape Verde,19.0,true
17703,1.0,Marshall Islands,1.0,false
42375,"",Kenya,1.0,false
38363,1.0,Uganda,1.0,true
29648,"",Guinea,1.0,true
19576,1.0,Micronesia,2.0,true
42686,"","",1.0,true
8930,"",Turkmenistan,2.0,true
293,1.0,Lebanon,1.0,false
9042,0.57,Russian Federation,2.0,false
36853,1.0,Guinea,1.0,false
44853,1.0,Lebanon,2.0,false
25856,"",Vanuatu,4.0,true
14210,1.0,Finland,1.0,false
45741,1.0,Uzbekistan,6.0,true
9029,"",Andorra,2.0,true
4038,"",Micronesia,1.0,true
28458,1.0,Turkmenistan,6.0,false
24088,"",Russian Federation,1.0,true
9708,"",Lebanon,2.0,true
49956,"",Russian Federation,1.0,false
24133,1.0,Cuba,1.0,true
46586,1.0,Bosnia and Herzegovina,12.0,false
46586,1.0,Bosnia and Herzegovina,12.0,false
46586,1.0,Bosnia and Herzegovina,12.0,false
46586,1.0,Bosnia and Herzegovina,12.0,false
46586,1.0,Bosnia and Herzegovina,12.0,false
20550,"",Tanzania,1.0,false
10680,"",Anguilla,2.0,false
42897,"",Brazil,1.0,false
4237,0.33,Holy See (Vatican City State),1.0,false
23322,1.0,French Guiana,2.0,true
20829,"",Anguilla,1.0,true
13720,"",Bouvet Island (Bouvetoya),3.0,true
10392,"",Chad,1.0,false
42288,"","",1.0,false
23215,1.0,Djibouti,2.0,false
17993,1.0,Zimbabwe,1.0,true
2717,"",Uzbekistan,3.0,false
19033,0.25,Zimbabwe,1.0,false
7676,"",Russian Federation,1.0,false
28911,"","",1.0,false
42458,0.97,Indonesia,14.0,true
6396,1.0,Indonesia,1.0,true
37718,"",Barbados,1.0,true
39724,0.86,Sao Tome and Principe,2.0,false
21591,1.0,Kiribati,1.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
21229,1.0,Pakistan,10.0,true
40281,1.0,"",3.0,false
32659,1.0,Cuba,1.0,true
11428,"",Kenya,1.0,false
10204,1.0,Nicaragua,5.0,true
11616,1.0,Uzbekistan,12.0,true
30107,1.0,Venezuela,2.0,true
36659,1.0,Anguilla,2.0,true
9754,1.0,Brazil,6.0,false
34610,"",Gambia,2.0,false
7240,1.0,"",1.0,true
20343,"",Togo,4.0,false
46586,1.0,Bosnia and Herzegovina,12.0,false
13796,1.0,Kiribati,2.0,true
5203,"",Grenada,1.0,true
31686,1.0,Finland,1.0,true
16130,1.0,Ghana,3.0,true
8654,1.0,Christmas Island,3.0,false
25615,0.75,French Polynesia,1.0,true
32383,1.0,Marshall Islands,1.0,false
34784,0.6,Faroe Islands,19.0,true
18105,1.0,Gambia,7.0,true
34234,0.0,Zimbabwe,2.0,true
26099,0.99,Reunion,15.0,false
8605,0.9,Estonia,4.0,true
47708,"",Bosnia and Herzegovina,1.0,false
38347,1.0,El Salvador,1.0,false
14971,"",Estonia,1.0,false
42458,0.97,Indonesia,14.0,true
48535,1.0,El Salvador,2.0,false
46667,1.0,United Kingdom,1.0,false
14372,0.0,Ecuador,1.0,true
31602,"",French Guiana,1.0,true
7411,"","",1.0,false
19521,1.0,United Kingdom,3.0,true
20542,0.8,Kenya,7.0,true
20542,0.8,Kenya,7.0,true
43862,"",Chile,1.0,true
37392,1.0,Micronesia,7.0,true
11048,"",Bosnia and Herzegovina,1.0,true
1499,1.0,Tonga,2.0,true
12004,1.0,"",1.0,false
10954,1.0,Uganda,2.0,false
16083,1.0,Guinea,2.0,false
18944,0.8,Indonesia,2.0,false
36985,1.0,Kiribati,7.0,true
36985,1.0,Kiribati,7.0,true
3902,1.0,Papua New Guinea,3.0,true
19300,"",Costa Rica,1.0,false
36411,1.0,Brazil,3.0,false
36411,1.0,Brazil,3.0,false
36411,1.0,Brazil,3.0,false
6896,"",Barbados,2.0,true
10818,"",Cape Verde,1.0,false
7,"",Puerto Rico,1.0,false
15164,1.0,Tanzania,2.0,true
23891,0.9,Zimbabwe,3.0,true
40632,"",Puerto Rico,1.0,false
42754,"",Gambia,1.0,false
17306,0.92,Micronesia,4.0,true
9207,"",Marshall Islands,2.0,true
17306,0.92,Micronesia,4.0,true
7175,1.0,Zimbabwe,1.0,true
263,"",Anguilla,1.0,false
9833,"","",1.0,false
15164,1.0,Tanzania,2.0,true
12046,"","",1.0,true
17682,1.0,Niue,1.0,false
34538,"",Togo,1.0,false
47295,1.0,Niue,1.0,true
12752,"",Zimbabwe,2.0,false
21191,"",Nauru,1.0,false
44495,"",Gambia,1.0,false
44446,1.0,Costa Rica,3.0,true
15472,1.0,Niue,2.0,true
34782,0.9,Libyan Arab Jamahiriya,1.0,true
26099,0.99,Reunion,15.0,false
2042,0.9,Gambia,7.0,false
2042,0.9,Gambia,7.0,false
23614,1.0,Ecuador,4.0,true
24190,"",Jersey,1.0,true
39809,1.0,Costa Rica,1.0,true
40832,"",Faroe Islands,2.0,false
40832,"",Faroe Islands,2.0,false
38751,"",Greenland,1.0,false
3866,1.0,Indonesia,8.0,true
17609,"","",1.0,true
21341,0.8,Tonga,1.0,false
45161,1.0,Togo,2.0,true
8238,0.91,Barbados,15.0,true
42901,0.75,Lebanon,1.0,true
1420,1.0,Afghanistan,2.0,false
21318,1.0,Russian Federation,2.0,true
4221,"",Niue,1.0,false
4086,"",French Guiana,1.0,false
37803,1.0,Guinea,1.0,false
1747,"",Gambia,1.0,true
674,1.0,Gibraltar,4.0,false
20542,0.8,Kenya,7.0,true
20542,0.8,Kenya,7.0,true
16095,0.85,Isle of Man,2.0,true
31379,1.0,France,5.0,true
34203,1.0,Uzbekistan,2.0,true
14369,"",Micronesia,2.0,true
30216,0.98,Maldives,34.0,false
40235,"",Guinea,1.0,true
49609,1.0,Niue,3.0,true
29112,1.0,Chad,2.0,false
1566,"",Kiribati,1.0,false
34259,1.0,Sao Tome and Principe,2.0,true
3131,1.0,Tanzania,3.0,false
8442,1.0,Tunisia,2.0,true
45987,1.0,Jersey,6.0,true
425,"","",1.0,false
1594,"",Lebanon,1.0,false
46896,1.0,Zimbabwe,1.0,true
6546,0.8,Bouvet Island (Bouvetoya),1.0,false
26172,"",Rwanda,1.0,false
47385,1.0,Cape Verde,2.0,true
7759,"",Palestinian Territory,1.0,false
41880,"",China,2.0,false
17490,"",Gambia,1.0,false
13269,1.0,Anguilla,3.0,false
13269,1.0,Anguilla,3.0,false
39724,0.86,Sao Tome and Principe,2.0,false
38426,1.0,Turks and Caicos Islands,1.0,false
50052,1.0,Finland,1.0,true
34126,1.0,French Guiana,1.0,true
19648,"","",1.0,false
1890,"",Isle of Man,1.0,false
3777,1.0,Kiribati,1.0,true
14340,1.0,Isle of Man,5.0,true
47152,"",Isle of Man,2.0,false
40390,1.0,Marshall Islands,2.0,true
20417,"","",1.0,false
19289,"",Senegal,2.0,true
34259,1.0,Sao Tome and Principe,2.0,true
4708,"",Uzbekistan,1.0,true
6053,"",Sao Tome and Principe,1.0,true
34610,"",Gambia,2.0,false
1706,"","",1.0,false
3080,1.0,Lithuania,2.0,true
23402,"",Zimbabwe,1.0,false
24389,1.0,"",2.0,true
24389,1.0,"",2.0,true
46789,"",Jersey,1.0,true
27555,"",United Kingdom,1.0,false
21457,1.0,Russian Federation,4.0,true
38689,1.0,United Kingdom,6.0,true
32419,"",Greenland,2.0,false
48874,1.0,Somalia,4.0,true
37343,0.75,Ecuador,4.0,true
41382,1.0,Kiribati,1.0,false
17725,"","",1.0,false
12436,1.0,Uganda,1.0,false
34107,"",Costa Rica,1.0,false
45741,1.0,Uzbekistan,6.0,true
2452,"",French Guiana,1.0,true
10950,1.0,Greenland,1.0,false
11644,1.0,Isle of Man,1.0,false
30197,1.0,Micronesia,1.0,true
3939,0.9,"",3.0,false
48605,1.0,Niue,3.0,true
35803,1.0,Jersey,2.0,false
27316,1.0,Puerto Rico,5.0,false
9748,"","",1.0,false
38074,"",Niue,1.0,false
13295,1.0,Denmark,4.0,false
27316,1.0,Puerto Rico,5.0,false
33503,"",Anguilla,1.0,true
20272,"",Jersey,1.0,false
46217,1.0,United Kingdom,4.0,false
28454,1.0,Kiribati,3.0,false
21101,1.0,Holy See (Vatican City State),1.0,false
22358,"",Vanuatu,3.0,false
43807,1.0,Palestinian Territory,4.0,false
43807,1.0,Palestinian Territory,4.0,false
43807,1.0,Palestinian Territory,4.0,false
26729,"",Kiribati,2.0,false
15120,1.0,El Salvador,1.0,false
21248,"",Guinea,1.0,false
35634,"",Costa Rica,1.0,false
45819,0.5,Gambia,1.0,false
44581,1.0,Niger,2.0,false
34753,1.0,El Salvador,1.0,true
