id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
68236,Rwanda,Type G0,Plasma,ThetaBase Services,2.0,6,strict,3.0,true,false,3197.0,2367
25681,Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,false,false,1130.0,13551
3002,Malta,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1546.0,44544
3638,United Kingdom,Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,false,false,2170.0,28828
63691,Malta,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1910.0,14572
41496,Russian Federation,Type V5,Plasma,"Banks, Wood and Phillips",2.0,5,strict,2.0,false,false,2430.0,28828
22909,Malta,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,true,false,1780.0,38062
70554,Rwanda,Type V5,Plasma,ThetaBase Services,2.0,4,flexible,3.0,false,false,2040.0,13495
714,Uzbekistan,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,false,false,1325.0,17885
16115,Russian Federation,Type F5,Plasma,ThetaBase Services,3.0,4,flexible,3.0,true,false,2339.0,29156
46187,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1520.0,26118
8824,Wallis and Futuna,Type V5,Plasma,ThetaBase Services,0.0,2,moderate,1.0,false,false,1884.0,14323
63914,Bosnia and Herzegovina,Type V5,Plasma,ThetaBase Services,0.0,2,strict,1.0,true,false,1455.0,9506
28682,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,2,moderate,1.0,false,false,1975.0,37558
39471,United Kingdom,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,false,false,1273.0,9664
59186,Barbados,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,false,false,1845.0,49588
31745,Barbados,Type V5,Plasma,ThetaBase Services,1.0,4,flexible,2.0,false,false,2534.0,23582
40983,Micronesia,Type V5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,false,false,1390.0,29355
17270,Rwanda,Type V5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,true,false,1260.0,25129
23492,Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,3,strict,2.0,true,false,2300.0,31790
69906,Malta,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,false,false,1780.0,44793
52431,Malta,Type V5,Quantum,ThetaBase Services,1.0,2,strict,2.0,false,false,1403.0,43551
